idiom	class	section	subsection	head group>head	class>section>subsection>head group>head	#	semantic-type	definition	citation	source
В обріз	abstract relations	quantity	comparative quantity	quantity by comparison with a standard>smallness	abstract relations>quantity>comparative quantity>quantity by comparison with a standard>smallness	32	ідіома	ледве вистачає	Грошей в обріз. Вся надія на буряки	Микола Руденко, Остання шабля, 1959, 456
По цурочці	abstract relations	quantity	comparative quantity	quantity by comparison with a standard>smallness	abstract relations>quantity>comparative quantity>quantity by comparison with a standard>smallness	32	ідіома	по маленькому шматочку		
Лепта вдовиці	abstract relations	quantity	comparative quantity	quantity by comparison with a standard>smallness	abstract relations>quantity>comparative quantity>quantity by comparison with a standard>smallness	32	ідіома	порівняно невеликий, убогий вклад у що-небудь спільне	Будь ти й мені за ознаку надії, Що не потоне народ наш без сліду в народностях інших, Що до скарбниці, до вічного поступу інших народів Він хоч убогую лепту вдовиці успіє вложити	Володимир Самійленко, I, 1958, 92
Під стіл пішки ходити	abstract relations	quantity	comparative quantity	quantity by comparison with a standard>smallness	abstract relations>quantity>comparative quantity>quantity by comparison with a standard>smallness	32	фраз. єдність	бути дуже малим (про дитину)	Коли була революція, я під стіл пішки ходила	Семен Журахович, Нам тоді.., 1968, 101
На півпальця	abstract relations	quantity	comparative quantity	quantity by comparison with a standard>smallness	abstract relations>quantity>comparative quantity>quantity by comparison with a standard>smallness	32	фраз. єдність	зовсім небагато, трохи	Хоч ти на півпальця збрешеш, а лиха наробиш на ввесь вік	Квітка-Основ'яненко, II, 1956, 487
На корч заввишки	abstract relations	quantity	comparative quantity	quantity by comparison with a standard>smallness	abstract relations>quantity>comparative quantity>quantity by comparison with a standard>smallness	32	фраз. сполучення	малий на зріст, ростом	Сам той Ох на корч заввишки, але в сажень борода, знає край і вздовж і вширшки, де багатство, де біда	Леся Українка, I, 1951, 273
Та й годі	abstract relations	quantity	comparative quantity	quantity by comparison with a standard>smallness	abstract relations>quantity>comparative quantity>quantity by comparison with a standard>smallness	32	фразеологізоване словосполучення	і тільки, та й усе	Довго слухав і Бертольдо, Далі мовив на відході: «Що за дивна сила слова! Ворожбит якийсь, та й годі!»	Леся Українка, I, 1951, 369
Спинання на котурни	abstract relations	quantity	comparative quantity	quantity by comparison with a similar object>superiority	abstract relations>quantity>comparative quantity>quantity by comparison with a similar object>superiority	33	ідіома	вияв зарозумілості, зверхності	Автор [І. Волошин] все бачить і уміє бачити. Але, побачивши, він уміє і спокійно, без претензій, без спинання на котурни все це по-діловому.. розповісти читачеві	Юрій Смолич, VI, 1959, 200
Брати (взяти) верх	abstract relations	quantity	comparative quantity	quantity by comparison with a similar object>superiority	abstract relations>quantity>comparative quantity>quantity by comparison with a similar object>superiority	33	фраз. сполучення	одержувати перевагу в чомусь над ким- або чим-небудь; перемагати	Юність завжди відзначається тим, що в неї світлі думки беруть верх над чорними	Ірина Вільде, Пов. і опов., 1949, 14
Губи (губки) бантиком	abstract relations	quantity	comparative quantity	quantity by comparison with a similar object>superiority	abstract relations>quantity>comparative quantity>quantity by comparison with a similar object>superiority	33	фраз. сполучення	про форму рота з дещо піднятою і вигнутою верхньою губою	«Хіба я була погана?» — не втрималася Карпиха, складаючи губи бантиком	Юрій Яновський, Мир, 1956, 236
Кульгати на обидві ноги	abstract relations	quantity	comparative quantity	quantity by comparison with a similar object>inferiority	abstract relations>quantity>comparative quantity>quantity by comparison with a similar object>inferiority	34	фраз. єдність	мати багато недоліків (про справу, роботу і т. ін.)		
Вглиб і вшир рости	abstract relations	quantity	comparative quantity	changes in quantity>increase	abstract relations>quantity>comparative quantity>changes in quantity>increase	35	фраз. сполучення	одночасно ставати змістовнішим, серйознішим і збільшуватися числом, поширюватись	Український нарис справді росте углиб і вшир, кількісно і якісно	Радянське літературознавство, 10, 1965, 5
На піддачу	abstract relations	quantity	conjunctive quantity	addition	abstract relations>quantity>conjunctive quantity>addition	37	фраз. сполучення	додатково до чого-небудь	Коли я бачу, як на небі туча тучить, — душу всю мою озвучить громом гніву! — й на піддачу блискавками намогучить	Павло Тичина, II, 1957, 119
На прикуску	abstract relations	quantity	conjunctive quantity	addition	abstract relations>quantity>conjunctive quantity>addition	37	фраз. сполучення	на додаток	Попросять люди про Саву Чалого, про Супруна, Морозенка, Залізняка, Кармелюка чи Бондарівну, — заспіває [кобзар С. О. Адамцевич] .. А на прикуску додасть ще й жартівливих	Літературна Україна. 24.XII 1968, 3
На (у) довершення	abstract relations	quantity	conjunctive quantity	addition	abstract relations>quantity>conjunctive quantity>addition	37	фразеологізоване словосполучення	на додаток до всього попереднього	На довершення всього, як грім серед ясного неба, виявилось, що Неля задумала постригтися в монашки	Ірина Вільде, Сестри.., 1958, 368
Стригтися (стригти) під скобку	abstract relations	quantity	conjunctive quantity	nonaddition>subtraction	abstract relations>quantity>conjunctive quantity>nonaddition>subtraction	38	фразеологізоване словосполучення	зрізати волосся по прямій лінії на лобі й потилиці		
Дисперсна система	abstract relations	quantity	conjunctive quantity	mixture	abstract relations>quantity>conjunctive quantity>mixture	41	фразеологізоване словосполучення	суміш, у якій одна з складових частин (дисперсна фаза) розподілена у вигляді дрібних частинок у другій фазі — дисперсійному середовищі		
Ніде курці клюнути	abstract relations	quantity	conjunctive quantity	junction	abstract relations>quantity>conjunctive quantity>junction	43	фраз. єдність	дуже тісно де-небудь	Весь стіл завалений, ніде курці клюнути, ще не переглянутими.. книжками	Леся Українка, V, 1956, 313
Курці ніде клюнути	abstract relations	quantity	conjunctive quantity	junction	abstract relations>quantity>conjunctive quantity>junction	43	фраз. єдність	дуже тісно, немає вільного місця	Збив [пан] мене — курці ніде клюнути!	Панас Мирний, III, 1954, 164
Ступнути ніде	abstract relations	quantity	conjunctive quantity	junction	abstract relations>quantity>conjunctive quantity>junction	43	фраз. єдність	дуже тісно, немає вільного місця	А квітник біля хати — це вже Гаїнчине діло. Стільки квіток, що й ступнути скоро ніде буде	Борис Грінченко, II, 1963, 372
І (й) перепелиці нікуди пропхатися	abstract relations	quantity	conjunctive quantity	junction	abstract relations>quantity>conjunctive quantity>junction	43	фраз. єдність	про надзвичайну тісняву де-небудь, гущину чого-небудь	Біля нього простирався жовтий і синій лубин [ліопип],.. боками буйний та густий, що й перепелиці нікуди пропхатися	Лесь Мартович, Тв., 1954, 246
Під батьковою (батьківською) стріхою	abstract relations	quantity	conjunctive quantity	junction	abstract relations>quantity>conjunctive quantity>junction	43	фраз. єдність	у рідній  хаті, у своїй сім'ї	Чудовий образ принесла вона в душі тоді під батькову стріху, і той образ раз у раз оживав в її уяві, й міниться, і грає барвами	Михайло Коцюбинський, I, 1955, 288
Мов оселедців у бочці	abstract relations	quantity	conjunctive quantity	junction	abstract relations>quantity>conjunctive quantity>junction	43	фраз. сполучення	дуже тісно, дуже багато	На помості набито, мов оселедців у бочці, якихось людських істот	Іван Франко, I, 1955, 79
Жити під однією покрівлею	abstract relations	quantity	conjunctive quantity	junction	abstract relations>quantity>conjunctive quantity>junction	43	фраз. сполучення	жити в одній хаті	Я з нею зроду-звіку не буду жити під однією покрівлею, — кричала Кайдашиха	Нечуй-Левицький, II, 1956, 359
Від букви до букви	abstract relations	quantity	concrete quantity	whole	abstract relations>quantity>concrete quantity>whole	50	ідіома	від початку до кінця	А хто ж працює в колгоспі? — цікавився Артьомов, перечитуючи від букви до букви кожен папірець	Степан Чорнобривець, Потік.., 1956, 121
З гамузом	abstract relations	quantity	concrete quantity	whole	abstract relations>quantity>concrete quantity>whole	50	ідіома	з усім, що є	Новий конкурент у нас з'явився. Заткне нас за пояс з усім гамузом	Василь Минко, Вибр., 1952, 47
До [останньої] дрібочки	abstract relations	quantity	concrete quantity	whole	abstract relations>quantity>concrete quantity>whole	50	фраз. сполучення	повністю, цілком, дощенту	Витрусив [Михайло] до останньої дрібочки [сіль], а натовп не зменшився	Юрій Збанацький, Сеспель, 1961, 158
В [одну] цілість	abstract relations	quantity	concrete quantity	whole	abstract relations>quantity>concrete quantity>whole	50	фраз. сполучення	у щось єдине ціле	Все злучиться в цілість — природа і люди, що є, що минуло, що сталось, що буде	Леся Українка, I, 1951, 287
Альфа і омега	abstract relations	quantity	concrete quantity	whole	abstract relations>quantity>concrete quantity>whole	50	фразеологізоване словосполучення	початок і кінець чого-небудь; основне, головне в чомусь	Тут [на полях] Сахно мала нагоду висловити своє захоплення з ідеально організованої системи штучного зрошування. — О! Це моя альфа і омега! — не без самовдоволення відказав господар	Юрій Смолич, I, 1958, 69
В повній цілості	abstract relations	quantity	concrete quantity	whole	abstract relations>quantity>concrete quantity>whole	50	фразеологізоване словосполучення	у повному обсязі, без будь-яких втрат, шкоди; цілий		
В цілості	abstract relations	quantity	concrete quantity	whole	abstract relations>quantity>concrete quantity>whole	50	фразеологізоване словосполучення	у цілому, загалом	До завдань літературознавчого аналізу входить також розгляд твору в цілості, його загальних рис і ознак та його зв'язків з іншими творами, спільного й відмінного порівняно з ними	Радянське літературознавство, 9, 1965, 65
На локшину кришити (покришити)	abstract relations	quantity	concrete quantity	part	abstract relations>quantity>concrete quantity>part	51	фраз. єдність	сікти, рубати на дрібні частини, шматки	Не признався б, хоч би мене на капусту сікли, на локшину кришили	Марко Вовчок, VI, 1956, 339
Ворон ворону ока не виклює	abstract relations	quantity	concrete quantity	completeness	abstract relations>quantity>concrete quantity>completeness	52	фраз. вираз	один одному не буде шкодити	Пан і старшина — як брати рідні! Ворон ворону ока не виклює	Панас Мирний, II, 1954, 85
На гаразд	abstract relations	quantity	concrete quantity	completeness	abstract relations>quantity>concrete quantity>completeness	52	фраз. сполучення	на добре, до речі, до ладу	Чи буде це на гаразд?	Словник Грінченка
По [всій] справедливості	abstract relations	order	order in general	order	abstract relations>order>order in general>order	58	фраз. сполучення	справедливо	Часом бува зайде спор [спір], лайка; він їх усіх розсудить і по усій справедливості розбере	Квітка-Основ'яненко, II, 1956, 349
Скаламутити воду	abstract relations	order	order in general	disorder	abstract relations>order>order in general>disorder	59	фраз. єдність	внести неспокій, розлад; створити безладдя		
Вавілонське стовпотворіння	abstract relations	order	order in general	disorder	abstract relations>order>order in general>disorder	59	фраз. сполучення	безладдя, гармидер,  при якому люди не розуміють один одного	Голови туманіли від невщухаючого лементу цього вавілонського стовпотворіння. З ранку до ночі горлають водоноси, вищать шарманки, іржуть коні	Олесь Гончар, I, 1959, 37
Закидати (пускати) гадючку	abstract relations	order	order in general	derangement	abstract relations>order>order in general>derangement	61	фраз. єдність	говорити або робити неприємності	Се так на мене закидала [Одарка] гадючку, а я... наче мені невтямки	Марко Вовчок, VI, 1956, 263
Переважувати, переважити терези (чашу терезів)	abstract relations	order	consecutive order	precedence	abstract relations>order>consecutive order>precedence	62	фраз. єдність	віддавати чому-небудь перевагу, схилятися до чогось	Я вже підводу договорила: за ворітьми жде! Це, видно, остаточно переважило чашу комісарових терезів: віддав матері документи, віддав і хлопця	Олесь Гончар, II, 1959, 135
По шнуру	abstract relations	order	consecutive order	sequence	abstract relations>order>consecutive order>sequence	63	фраз. сполучення	рівно, в ряд, в одну лінію	З-за Нілу сфінкси, мов сичі, Страшними мертвими очима На теє дивляться. За ними На голому піску стоять По шнуру піраміди вряд, Мов фараонова сторожа	Тарас Шевченко, II, 1963, 365
І почав (почала), і почав (почала)	abstract relations	order	consecutive order	beginning	abstract relations>order>consecutive order>beginning	66	фраз. єдність	завести довгу розповідь про що-небудь	Тільки їй того й треба було, щоб Оксана стала жалітися на попитана [капітана]... тут вже вона й почала, і почала	Квітка-Основ'яненко, II, 1950, 445
Перша ластівка	abstract relations	order	consecutive order	beginning	abstract relations>order>consecutive order>beginning	66	фраз. єдність	про перші ознаки появи кого, чого-небудь	Одною з перших ластівок української прози про людей комуністичної праці став роман «Серце мого друга» Д. Бедзика	Радянське літературознавство, 5, 1962, 15
Починати (почати) з азів	abstract relations	order	consecutive order	beginning	abstract relations>order>consecutive order>beginning	66	фраз. сполучення	звертатися до найпростішого, до елементарних понять	Щоб роз'яснити, до якої міри нерозумні і несоціал-демократичні ці крики Максимова і К°, доводиться знов-таки почати з азів	Ленін, 19, 1971, 77
На закуску	abstract relations	order	consecutive order	end	abstract relations>order>consecutive order>end	67	фраз. сполучення	на закінчення	[Ревека (бере гвинтівку):] Давай. Ударю на закуску. (Стріляє)	Іван Микитенко, I, 1957, 247
І язиком не послизнувшись	abstract relations	order	consecutive order	continuity	abstract relations>order>consecutive order>continuity	69	ідіома	і разу не затнувшись, анітрохи не задумавшись		
Поперхнутися словом	abstract relations	order	consecutive order	discontinuity	abstract relations>order>consecutive order>discontinuity	70	фраз. сполучення	замовкнути на слові, не вимовити якогось слова	Панна Ярина.. аж поперхнулась тим сердитим і зневажливим словом, котрим хотіла була дати одкоша молоденькому нахабі	Олександр Ільченко, Козацькому роду.., 1958, 146
В головних (загальних) рисах	abstract relations	order	distributive order	generality	abstract relations>order>distributive order>generality	78	фраз. сполучення	в основному, без подробиць, деталей	Зараз же можна тільки систематизувати назбираний досвід, в головних рисах перевірити правильність будови	Василь Еллан, II, 1958, 81
Аномалія магнітна	abstract relations	order	order as regards categories	unconformity	abstract relations>order>order as regards categories>unconformity	83	фразеологізоване словосполучення	різке відхилення від нормальної величини земного магнетизму в якій-небудь області земної поверхні	Про магнітні аномалії в районі Курська вперше стало відомо в 1783 році	Наука і життя, 4, 1960, 55
Цокати на рахівниці	abstract relations	number	number, in the abstract	numeration	abstract relations>number>number, in the abstract>numeration	85	фраз. сполучення	рахувати на рахівниці	Довго [Павло Сидорович] цокав на рахівниці	Євген Кравченко, Квіти.., 1959, 179
Векторне числення	abstract relations	order	number, in the abstract	numeration	abstract relations>order>number, in the abstract>numeration	85	фразеологізоване словосполучення	розділ математики, в якому вивчаються дії з векторами		
Чуття єдиної родини	abstract relations	number	determinate number	unity	abstract relations>number>determinate number>unity	87	фраз. вираз	нерозривна єдність, дружба радянських людей, народів, націй	Натхнені ідеями радянського патріотизму і пролетарського інтернаціоналізму, благотворним чуттям єдиної родини, українські митці вписали немало сторінок у літопис дружби радянських народів-братів	Матеріали XXIV з'їзду КП України, 1971, 47
Зводити (звести) до одного (спільного) знаменника	abstract relations	number	determinate number	unity	abstract relations>number>determinate number>unity	87	фраз. єдність	прирівнювати кого-, що-небудь одне до одного, робити подібним в якомусь відношенні	Се [жінки-бюрократки] — людські істоти, ..дуже зредуковані, у прощені, зведені, так сказати, до спільного знаменника	Іван Франко, II, 1950, 331
Ані (ні) дрібочки	abstract relations	number	indeterminate number	zero	abstract relations>number>indeterminate number>zero	101	фраз. сполучення	зовсім, ніскільки, нітрохи	[Камілла:] Невже ти так-таки зовсім, ані крихітки, ані дрібочки не любиш мене?	Іван Франко, IV, 1950, 445
Ні цурочки	abstract relations	number	indeterminate number	zero	abstract relations>number>indeterminate number>zero	101	фразеологізоване словосполучення	зовсім нічого	Вони ж пильнують, щоб у саду не було ні смітинки, ні цурочки	Семен Скляренко, М. Щорс, 1938, 22
Усім (цілим) скопом	abstract relations	number	indeterminate number	multitude	abstract relations>number>indeterminate number>multitude	102	ідіома	всі разом, гуртом	Розкуркулені поперли на нього цілим скопом, засукуючи на ходу рукава	Григорій Тютюнник, Вир, 1964, 410
Валом повалити	abstract relations	number	indeterminate number	multitude	abstract relations>number>indeterminate number>multitude	102	ідіома	почати рухатися у великій кількості	Коли в село повернувся із Таврії Роман Волошин, люди валом повалили до нього	Михайло Стельмах, Хліб.., 1959, 626
Хоч лопатою загрібай	abstract relations	number	indeterminate number	multitude	abstract relations>number>indeterminate number>multitude	102	фраз. єдність	багато, чимало чого-небудь	Правдиво кажуть — гумору в народі хоч лопатою загрібай	Олександр Ковінька, Чому я не сокіл.., 1961, 77
Валом валити	abstract relations	number	indeterminate number	multitude	abstract relations>number>indeterminate number>multitude	102	фраз. єдність	безперервно рухатися густою масою	Поміж виноградниками, курною польовою доріжкою, валом валить карнавал	Олесь Гончар, Новели, 1954, 30
Їм [же] ім'я — легіон	abstract relations	number	indeterminate number	multitude	abstract relations>number>indeterminate number>multitude	102	фраз. сполучення	когось надзвичайно, дуже багато	Ярослав Галан став героєм нашого народу, а його послідовників нині не один і не два, їм ім'я — легіон	Юрій Мельничук, Поріддя.., 1959, 76
Не [можна] перелічити	abstract relations	number	indeterminate number	multitude	abstract relations>number>indeterminate number>multitude	102	фраз. сполучення	про дуже велику кількість якихось предметів або осіб	А здобичі стільки набрали [козаки], що й самому королівському підскарбієві не перелічити	Зінаїда Тулуб, Людолови, I, 1957, 46
На одну понюшку	abstract relations	number	indeterminate number	fewness	abstract relations>number>indeterminate number>fewness	103	фраз. єдність	дуже мало	За солдатів ручався Хоменко, як за себе, що не підуть вони проти своїх. А самих козаків на всі села й по п'ятеро, як оце в них в економії, не хватить. «На одну понюшку!» сміявся Хоменко	Андрій Головко, II, 1957, 280
По (на) пальцях [можна] перелічити	abstract relations	number	indeterminate number	fewness	abstract relations>number>indeterminate number>fewness	103	фраз. єдність	дуже мало кого-, чого-небудь	Вони [кращі люди].. замінили свій хатній халат на службовий каптан. То, правда, були ще тільки стовпи, одинокі рядчики, що їх по пальцях перелічиш	Панас Мирний, III, 1954, 185
У мініатюрі	abstract relations	number	indeterminate number	fewness	abstract relations>number>indeterminate number>fewness	103	фразеологізоване словосполучення	у зменшених розмірах, формах; у малому вигляді	А у донечки в руках — лялька, неначе портретик її в мініатюрі	Олександр Довженко, II, 1959, 95
Починати (почати) своє (своєї)	abstract relations	number	indeterminate number	repetition	abstract relations>number>indeterminate number>repetition	104	фраз. єдність	знову говорити те саме, що й раніше	Бачиш, курятини їм забажалося, — почав своєї дід Смик	Дмитро Бедзик, Огуд. Води, 1959, 21
Заводити пластинку	abstract relations	number	indeterminate number	repetition	abstract relations>number>indeterminate number>repetition	104	фраз. єдність	знову починати говорити те саме	Не раз, коли панич заводив пластинку про нетямущих упертих строковиків, Данько з Валериком.. весело переблискувались поміж себе оченятами	Олесь Гончар, Таврія, 1952, 379
Попотоптати стежку	abstract relations	number	indeterminate number	repetition	abstract relations>number>indeterminate number>repetition	104	фраз. сполучення	ходити багато разів у якесь місце;		
Закручувати одну і ту ж пластинку	abstract relations	number	indeterminate number	repetition	abstract relations>number>indeterminate number>repetition	104	фраз. сполучення	говорити весь час те саме	Бурчить [теща], зітха, одну і ту ж Закручує пластинку: — Чого женивсь? Який ти муж? Ти любиш м'яч, не жінку!	Степан Олійник, Вибр., 1959, 266
Віднині й до [кінця] віку	abstract relations	number	indeterminate number	infinity	abstract relations>number>indeterminate number>infinity	105	фраз. сполучення	назавжди	Співає народна дума: Що та слава славна Не вмре, не поляже Однині й до віку	Панас Мирний, V, 1955, 373
У накоренку	abstract relations	time	absolute time	time	abstract relations>time>absolute time>time	106	фраз. сполучення	діал. на пні (коли збіжжя іще не скошене)	Запродував [чоловік] лихварям збіжжя ще в накоренку	Леся Українка, III, 1952, 636
Бавити час	abstract relations	time	absolute time	time	abstract relations>time>absolute time>time	106	фраз. сполучення	проводити час	[Михайло:] Хіба не можна чесно та мило бавити часу без всяких зальотів?	Михайло Старицький, Вибр., 1959, 148
З (від) рання до вечора (до смеркання)	abstract relations	time	absolute time	time	abstract relations>time>absolute time>time	106	фразеологізоване словосполучення	цілий день	На степи падала мжичка. Вона почалася ще тиждень тому і сіяла щодня від рання до вечора, дні і ночі	Григорій Епік, Тв., 1958, 425
З бігом часу	abstract relations	time	absolute time	course	abstract relations>time>absolute time>course	109	фраз. сполучення	згодом, пізніше; в пізнішому розвитку (ході) подій		
Вигравати (виграти) час	abstract relations	time	absolute time	diuturnity	abstract relations>time>absolute time>diuturnity	110	фраз. сполучення	вкладатися в коротший відрізок часу, ніж потрібно; діставати перевагу в часі	Він [ворог] виграв деякий час, поки Андрій та Михайло зупинилися біля свого товариша перевести дух і глянути, що з ним	Микола Трублаїні, I, 1955, 127
До другого пришестя	abstract relations	time	absolute time	perpetuity	abstract relations>time>absolute time>perpetuity	112	фраз. сполучення	невідомо до якого часу, вічно	Куди ти тютюн ламаєш, бодай тобі руки і ноги поламало! А бодай би ти не виліз з того тютюну до другого пришестя!	Олександр Довженко, Зачарована Десна, 1957, 465
Блимнути очима	abstract relations	time	absolute time	instantaneity	abstract relations>time>absolute time>instantaneity	113	фраз. єдність	глянути; моргнути	Жук тільки грізно блимнув очима	Панас Мирний, I, 1954, 334
По щучому велінню	abstract relations	time	absolute time	instantaneity	abstract relations>time>absolute time>instantaneity	113	фраз. сполучення	негайно і без втручання кого-небудь, ніби чарами	Дивиться дід — біля їх і сажалка; чи вона була, та він її не бачив, чи вона справді уродилась, як кажуть, по щучому велінню!	Олекса Стороженко, I, 1957, 83
Без роздумів	abstract relations	time	absolute time	instantaneity	abstract relations>time>absolute time>instantaneity	113	фразеологізоване словосполучення	не думаючи, не вагаючись	Вірив [Шаптала]: такий, як Федір Дмитрович, не стане марнувати його сил десь на другорядній дільниці. Тому й згодився без роздумів	Павло Загребельний, Спека, 1961, 53
Віддзвонювати (віддзвонити) склянки	abstract relations	time	absolute time	chronometry	abstract relations>time>absolute time>chronometry	114	фраз. єдність	ритмічними ударами вказувати час	Віддзвонюють склянки у далекім порту, і виходять в незнані моря кораблі перед сходом цього золотого світанку	Микола Упеник, Вірші.., 1957, 10
За одним рипом	abstract relations	time	relative time	time with reference to succession>synchronism	abstract relations>time>relative time>time with reference to succession>synchronism	120	фраз. єдність	водночас, заразом	Посидів би ще, Михею. — Ганна чекає.. — То й ми за одним рипом. — Мирон теж встає	Микола Зарудний, На білому світі, 1967, 100
Скільки літ, скільки зим	abstract relations	time	relative time	time with reference to succession>the past	abstract relations>time>relative time>time with reference to succession>the past	122	фраз. вираз	дуже давно (говориться під час зустрічі)	Скільки літ, скільки зим не бачилися? Здрастуйте!	Панас Мирний, III, 1954, 266
Оглядатися (оглянутися) назад	abstract relations	time	relative time	time with reference to succession>the past	abstract relations>time>relative time>time with reference to succession>the past	122	фраз. єдність	пригадувати те, що відійшло; відтворювати в пам'яті прожите, минуле	Сей день [роковини] завжди якось неприємний, бо мимоволі оглядаюсь назад	Леся Українка, V, 1956, 397
